# NOTE: companies_this_topic = unique companies for THIS topic only. DO NOT SUM - double-counts companies across topics. Global unique total: 373352 companies (all regions 90-day).
topic,companies_this_topic,total_signals,acc_NAMER,acc_EMEA,acc_APAC,acc_LATAM,acc_ANZ,acc_Global,sig_NAMER,sig_EMEA,sig_APAC,sig_LATAM,sig_ANZ,sig_Global
video conferencing,909,4061,54,659,7,73,8,108,233,2114,30,584,37,1063
tax planning,1708,4041,47,153,96,1128,11,273,92,364,136,2370,19,1060
service provider,1429,4029,352,545,60,275,18,179,485,1518,79,500,27,1420
Salesken,428,4005,50,191,17,114,14,42,114,1312,20,333,17,2209
ready to use,428,4005,50,191,17,114,14,42,114,1312,20,333,17,2209
revenue intelligence,428,4005,50,191,17,114,14,42,114,1312,20,333,17,2209
iso 45001,81,3992,15,40,0,15,2,9,700,2064,0,116,28,1084
warehouse automation,953,3987,82,398,83,265,21,104,402,1493,466,937,66,623
employee onboarding process,228,3954,19,126,8,39,13,23,90,1552,20,348,36,1908
Nutshell,422,3946,50,188,17,113,14,40,114,1255,20,333,17,2207
marketing services,422,3946,50,188,17,113,14,40,114,1255,20,333,17,2207
data-driven performance,422,3943,50,188,17,113,14,40,114,1253,20,332,17,2207
contracting services,1587,3931,256,418,22,653,31,207,789,1152,32,1328,93,537
electrical contracting,1587,3931,256,418,22,653,31,207,789,1152,32,1328,93,537
motor connection,1588,3931,254,418,22,655,31,208,787,1152,32,1330,93,537
program compliance,1587,3931,256,418,22,653,31,207,789,1152,32,1328,93,537
safety equipment,1587,3931,256,418,22,653,31,207,789,1152,32,1328,93,537
connected equipment,1585,3928,254,418,22,653,31,207,787,1152,32,1328,93,536
disconnect switch,1585,3928,254,418,22,653,31,207,787,1152,32,1328,93,536
motor disconnection,1585,3928,254,418,22,653,31,207,787,1152,32,1328,93,536
switch-rated plugs,1585,3928,254,418,22,653,31,207,787,1152,32,1328,93,536
switch-rated receptacles,1585,3928,254,418,22,653,31,207,787,1152,32,1328,93,536
marketing,2106,3927,62,159,49,1416,7,413,96,392,82,2529,20,808
brand identity,2105,3925,62,159,49,1415,7,413,96,392,82,2527,20,808
design,2105,3925,62,159,49,1415,7,413,96,392,82,2527,20,808
design solutions,2105,3925,62,159,49,1415,7,413,96,392,82,2527,20,808
innovative design,2105,3925,62,159,49,1415,7,413,96,392,82,2527,20,808
marketing effectiveness,2105,3925,62,159,49,1415,7,413,96,392,82,2527,20,808
visual communication,2105,3925,62,159,49,1415,7,413,96,392,82,2527,20,808
air-gapped,650,3901,84,119,0,368,1,78,324,396,0,1552,1,1628
data-driven sales,421,3899,49,190,17,112,13,40,104,1255,20,297,16,2207
sales excellence,421,3899,49,190,17,112,13,40,104,1255,20,297,16,2207
digital landscape,491,3857,61,84,4,287,0,55,302,214,5,1301,0,2035
cloud video surveillance,2018,3855,181,505,22,983,31,296,351,979,33,1833,92,567
Shell,256,3819,25,59,3,113,5,51,513,924,11,1851,9,511
composite pipe,256,3819,25,59,3,113,5,51,513,924,11,1851,9,511
corrosion coupon,256,3819,25,59,3,113,5,51,513,924,11,1851,9,511
corrosion monitoring,256,3819,25,59,3,113,5,51,513,924,11,1851,9,511
high-pressure pipeline,256,3819,25,59,3,113,5,51,513,924,11,1851,9,511
offshore pipeline,256,3819,25,59,3,113,5,51,513,924,11,1851,9,511
online corrosion monitoring,256,3819,25,59,3,113,5,51,513,924,11,1851,9,511
onshore pipeline,256,3819,25,59,3,113,5,51,513,924,11,1851,9,511
pipeline integrity,256,3819,25,59,3,113,5,51,513,924,11,1851,9,511
pipeline rehabilitation,256,3819,25,59,3,113,5,51,513,924,11,1851,9,511
pipeline solutions,256,3819,25,59,3,113,5,51,513,924,11,1851,9,511
smart corrosion monitoring,256,3819,25,59,3,113,5,51,513,924,11,1851,9,511
structural integrity,256,3819,25,59,3,113,5,51,513,924,11,1851,9,511
turnaround time,256,3819,25,59,3,113,5,51,513,924,11,1851,9,511
underdeposit corrosion monitoring,256,3819,25,59,3,113,5,51,513,924,11,1851,9,511
employee surveys,1495,3787,222,434,19,618,28,174,697,1185,28,1239,74,564
policy manuals,1495,3787,222,434,19,618,28,174,697,1185,28,1239,74,564
training modules,1495,3787,222,434,19,618,28,174,697,1185,28,1239,74,564
workplace safety training,1495,3787,222,434,19,618,28,174,697,1185,28,1239,74,564
ehs compliance,1495,3786,223,434,19,618,28,173,698,1184,28,1239,74,563
environmental health,1495,3786,223,434,19,618,28,173,698,1184,28,1239,74,563
incident reporting,1495,3786,223,434,19,618,28,173,698,1184,28,1239,74,563
safe workplace,1495,3786,223,434,19,618,28,173,698,1184,28,1239,74,563
violence prevention,1495,3786,223,434,19,618,28,173,698,1184,28,1239,74,563
workplace violence prevention,1495,3786,223,434,19,618,28,173,698,1184,28,1239,74,563
Dassault Systmes,1174,3783,27,160,9,820,14,144,58,387,20,2826,43,449
ease of deployment,317,3772,20,31,1,227,0,38,113,194,2,1702,0,1761
Motorola Solutions,1963,3766,181,467,22,982,31,280,351,917,33,1830,92,543
Verkada,1963,3766,181,467,22,982,31,280,351,917,33,1830,92,543
air quality monitoring,1963,3766,181,467,22,982,31,280,351,917,33,1830,92,543
alarm monitoring,1963,3766,181,467,22,982,31,280,351,917,33,1830,92,543
api gateway,1963,3766,181,467,22,982,31,280,351,917,33,1830,92,543
application access,1963,3766,181,467,22,982,31,280,351,917,33,1830,92,543
application access control,1963,3766,181,467,22,982,31,280,351,917,33,1830,92,543
automated application,1963,3766,181,467,22,982,31,280,351,917,33,1830,92,543
cloud video,1963,3766,181,467,22,982,31,280,351,917,33,1830,92,543
cloud video security,1963,3766,181,467,22,982,31,280,351,917,33,1830,92,543
email notifications,1963,3766,181,467,22,982,31,280,351,917,33,1830,92,543
experience management,1963,3766,181,467,22,982,31,280,351,917,33,1830,92,543
guest check-in,1963,3766,181,467,22,982,31,280,351,917,33,1830,92,543
guest registration,1963,3766,181,467,22,982,31,280,351,917,33,1830,92,543
identity manager,1963,3766,181,467,22,982,31,280,351,917,33,1830,92,543
kiosk application,1963,3766,181,467,22,982,31,280,351,917,33,1830,92,543
market share,1963,3766,181,467,22,982,31,280,351,917,33,1830,92,543
on-site security,1963,3766,181,467,22,982,31,280,351,917,33,1830,92,543
operational processes,1963,3766,181,467,22,982,31,280,351,917,33,1830,92,543
pro-watch,1963,3766,181,467,22,982,31,280,351,917,33,1830,92,543
security managed,1963,3766,181,467,22,982,31,280,351,917,33,1830,92,543
visitor experience,1963,3766,181,467,22,982,31,280,351,917,33,1830,92,543
visitor experience management,1963,3766,181,467,22,982,31,280,351,917,33,1830,92,543
visitor journey management,1963,3766,181,467,22,982,31,280,351,917,33,1830,92,543
web server,1963,3766,181,467,22,982,31,280,351,917,33,1830,92,543
web-based applications,1963,3766,181,467,22,982,31,280,351,917,33,1830,92,543
ar textiles,1344,3759,198,412,12,542,23,157,657,1345,21,1133,68,535
arc-rated textiles,1344,3759,198,412,12,542,23,157,657,1345,21,1133,68,535
flame-resistant apparel,1344,3759,198,412,12,542,23,157,657,1345,21,1133,68,535
fr fabric,1344,3759,198,412,12,542,23,157,657,1345,21,1133,68,535
ppe program,1344,3759,198,412,12,542,23,157,657,1345,21,1133,68,535
commercial operations,1604,3749,150,499,72,679,14,190,337,1143,133,1400,20,716
commercial pricing,1604,3749,150,499,72,679,14,190,337,1143,133,1400,20,716
commercial pricing automation,1604,3749,150,499,72,679,14,190,337,1143,133,1400,20,716
market outlook,1706,3749,17,36,1,1239,0,413,74,96,1,2382,0,1196
quote-to-order automation,1604,3749,150,499,72,679,14,190,337,1143,133,1400,20,716
employee safety,1767,3746,182,514,40,811,24,196,432,1208,59,1563,26,458
benefits design,376,3737,29,216,7,72,19,33,295,1622,9,797,29,985
healthcare navigation,376,3737,29,216,7,72,19,33,295,1622,9,797,29,985
member engagement,376,3737,29,216,7,72,19,33,295,1622,9,797,29,985
member support,376,3737,29,216,7,72,19,33,295,1622,9,797,29,985
SafetyCulture,1756,3733,181,506,40,810,24,195,431,1198,59,1562,26,457
accident management,1756,3733,181,506,40,810,24,195,431,1198,59,1562,26,457
alcohol testing,1756,3733,181,506,40,810,24,195,431,1198,59,1562,26,457
csa scores,1756,3733,181,506,40,810,24,195,431,1198,59,1562,26,457
driver training programs,1756,3733,181,506,40,810,24,195,431,1198,59,1562,26,457
drug and alcohol testing,1756,3733,181,506,40,810,24,195,431,1198,59,1562,26,457
fleet accident management,1756,3733,181,506,40,810,24,195,431,1198,59,1562,26,457
fmcsa compliance,1756,3733,181,506,40,810,24,195,431,1198,59,1562,26,457
safer driving,1756,3733,181,506,40,810,24,195,431,1198,59,1562,26,457
safety performance,1756,3733,181,506,40,810,24,195,431,1198,59,1562,26,457
targeted training,1756,3733,181,506,40,810,24,195,431,1198,59,1562,26,457
driving behavior analysis,1755,3729,181,506,40,809,24,195,431,1198,59,1558,26,457
coaching program,495,3711,34,251,37,114,15,44,59,1395,50,185,18,2004
learning center,495,3711,34,251,37,114,15,44,59,1395,50,185,18,2004
organic traffic,495,3711,34,251,37,114,15,44,59,1395,50,185,18,2004
cybersecurity strategies & planning,777,3709,97,129,4,463,1,83,348,1391,6,1718,1,245
SICK,2318,3705,8,83,4,1907,5,311,8,171,9,3016,20,481
electric vehicles,1506,3700,8,401,0,766,4,327,24,1014,0,1914,22,726
General Motors,1504,3697,8,400,0,766,3,327,24,1012,0,1914,21,726
ai algorithms,1504,3697,8,400,0,766,3,327,24,1012,0,1914,21,726
automotive network,1504,3697,8,400,0,766,3,327,24,1012,0,1914,21,726
battery swapping,1504,3697,8,400,0,766,3,327,24,1012,0,1914,21,726
level 4 autonomy,1504,3697,8,400,0,766,3,327,24,1012,0,1914,21,726
onboard sensors,1504,3697,8,400,0,766,3,327,24,1012,0,1914,21,726
sae level 4,1504,3697,8,400,0,766,3,327,24,1012,0,1914,21,726
v2x,1504,3697,8,400,0,766,3,327,24,1012,0,1914,21,726
industrial internet of things (iiot) security,1113,3693,100,413,15,407,35,143,244,1277,70,1301,103,698
Webflow,485,3687,34,246,36,112,15,42,59,1381,49,181,18,1999
aeo maturity model,485,3687,34,246,36,112,15,42,59,1381,49,181,18,1999
ai-driven discovery,485,3687,34,246,36,112,15,42,59,1381,49,181,18,1999
authority optimization,485,3687,34,246,36,112,15,42,59,1381,49,181,18,1999
technical optimization,485,3687,34,246,36,112,15,42,59,1381,49,181,18,1999
floating liquefied natural gas (flng),206,3654,21,41,4,98,3,39,874,570,24,1316,6,864
cloud-based email security,929,3650,20,99,8,664,13,125,34,321,16,2236,33,1010
OPSWAT,1104,3635,99,411,15,403,35,141,241,1264,70,1262,103,695
asset security,1104,3635,99,411,15,403,35,141,241,1264,70,1262,103,695
cross domain,1104,3635,99,411,15,403,35,141,241,1264,70,1262,103,695
cross domain security,1104,3635,99,411,15,403,35,141,241,1264,70,1262,103,695
domain security,1104,3635,99,411,15,403,35,141,241,1264,70,1262,103,695
end-to-end supply chain,1104,3635,99,411,15,403,35,141,241,1264,70,1262,103,695
integrated platform,1104,3635,99,411,15,403,35,141,241,1264,70,1262,103,695
removable media protection,1104,3635,99,411,15,403,35,141,241,1264,70,1262,103,695
data center scaling,2677,3629,15,54,3,2058,4,543,29,78,3,2676,9,834
infrastructure upgrades,2677,3629,15,54,3,2058,4,543,29,78,3,2676,9,834
it modernization,2677,3629,15,54,3,2058,4,543,29,78,3,2676,9,834
organizational growth,2677,3629,15,54,3,2058,4,543,29,78,3,2676,9,834
server consolidation,2677,3629,15,54,3,2058,4,543,29,78,3,2676,9,834
Citrin Cooperman,1666,3623,17,36,1,1205,0,407,74,96,1,2291,0,1161
remote troubleshooting,1889,3619,160,449,11,972,31,266,341,793,26,1886,52,521
business benefits,1809,3618,71,320,18,1142,22,236,131,499,37,2446,34,471
Anritsu,1584,3594,57,245,29,998,8,247,103,436,54,2391,21,589
3d solutions,2259,3576,8,81,4,1856,5,305,8,159,9,2913,20,467
ai hardware,2259,3576,8,81,4,1856,5,305,8,159,9,2913,20,467
ai machine vision,2259,3576,8,81,4,1856,5,305,8,159,9,2913,20,467
robot vision,2259,3576,8,81,4,1856,5,305,8,159,9,2913,20,467
technical development,2259,3576,8,81,4,1856,5,305,8,159,9,2913,20,467
marketing investment,18,3570,1,9,1,5,0,2,2,34,2,10,0,3522
marketing playbook,18,3570,1,9,1,5,0,2,2,34,2,10,0,3522
system upgrade,1463,3556,219,369,17,662,24,172,673,959,23,1359,50,492
behavioral shift,1463,3555,220,369,17,661,24,172,674,959,23,1357,50,492
construction projects,1463,3555,220,369,17,661,24,172,674,959,23,1357,50,492
contractor safety management,1463,3555,220,369,17,661,24,172,674,959,23,1357,50,492
enhanced safety,1463,3555,220,369,17,661,24,172,674,959,23,1357,50,492
joint learning,1463,3555,220,369,17,661,24,172,674,959,23,1357,50,492
knowledge skills,1463,3555,220,369,17,661,24,172,674,959,23,1357,50,492
learning approach,1463,3555,220,369,17,661,24,172,674,959,23,1357,50,492
personalized learning,1463,3555,220,369,17,661,24,172,674,959,23,1357,50,492
pre-mobilization planning,1463,3555,220,369,17,661,24,172,674,959,23,1357,50,492
site safety,1463,3555,220,369,17,661,24,172,674,959,23,1357,50,492
staff engagement,1463,3555,220,369,17,661,24,172,674,959,23,1357,50,492
circuit breaker,1462,3554,219,369,17,661,24,172,673,959,23,1357,50,492
fr apparel,1462,3554,219,369,17,661,24,172,673,959,23,1357,50,492
ppe compliance,1462,3554,219,369,17,661,24,172,673,959,23,1357,50,492
protective equipment,1462,3554,219,369,17,661,24,172,673,959,23,1357,50,492
telecommunications equipment,1462,3554,219,369,17,661,24,172,673,959,23,1357,50,492
network architectures,699,3542,65,94,3,460,0,77,303,192,24,2730,0,293
ai blueprint,1220,3482,39,279,28,659,29,186,79,679,47,2148,51,478
quantum ai,1220,3482,39,279,28,659,29,186,79,679,47,2148,51,478
scalable technology,1220,3482,39,279,28,659,29,186,79,679,47,2148,51,478
model cards,1219,3481,38,279,28,659,29,186,78,679,47,2148,51,478
Trane,2036,3467,220,465,20,1001,28,302,394,798,25,1674,51,525
building automation security,2036,3467,220,465,20,1001,28,302,394,798,25,1674,51,525
building performance,2036,3467,220,465,20,1001,28,302,394,798,25,1674,51,525
commercial hvac,2036,3467,220,465,20,1001,28,302,394,798,25,1674,51,525
flexible solutions,2036,3467,220,465,20,1001,28,302,394,798,25,1674,51,525
heating ventilation,2036,3467,220,465,20,1001,28,302,394,798,25,1674,51,525
hvac controls,2036,3467,220,465,20,1001,28,302,394,798,25,1674,51,525
hvac design build,2036,3467,220,465,20,1001,28,302,394,798,25,1674,51,525
hvac system installation,2036,3467,220,465,20,1001,28,302,394,798,25,1674,51,525
seamless operation,2036,3467,220,465,20,1001,28,302,394,798,25,1674,51,525
wireless lighting controls,2036,3467,220,465,20,1001,28,302,394,798,25,1674,51,525
worker productivity,2036,3467,220,465,20,1001,28,302,394,798,25,1674,51,525
employer-sponsored healthcare,376,3457,29,216,7,72,19,33,43,1621,9,770,29,985
group health insurance,376,3457,29,216,7,72,19,33,43,1621,9,770,29,985
healthcare plan,376,3457,29,216,7,72,19,33,43,1621,9,770,29,985
hr outsourcing,376,3457,29,216,7,72,19,33,43,1621,9,770,29,985
retirement plans,376,3457,29,216,7,72,19,33,43,1621,9,770,29,985
talent enablement,376,3457,29,216,7,72,19,33,43,1621,9,770,29,985
time and attendance,376,3457,29,216,7,72,19,33,43,1621,9,770,29,985
claims data,375,3455,29,215,7,72,19,33,43,1620,9,769,29,985
claims data analysis,375,3455,29,215,7,72,19,33,43,1620,9,769,29,985
employee benefits program review,375,3455,29,215,7,72,19,33,43,1620,9,769,29,985
healthcare plan restructuring,375,3455,29,215,7,72,19,33,43,1620,9,769,29,985
healthcare spending,375,3455,29,215,7,72,19,33,43,1620,9,769,29,985
healthcare spending control,375,3455,29,215,7,72,19,33,43,1620,9,769,29,985
managed security services,1237,3452,374,403,50,229,15,166,806,1053,132,482,27,952
supply chain resilience,1687,3441,90,423,16,893,28,237,168,710,30,2012,50,471
midstream maintenance & reliability,6,3438,1,3,0,2,0,0,2,3244,0,192,0,0
boil-off gas management,14,3431,2,5,0,4,0,3,6,3245,0,160,0,20
intrusion prevention systems (ips),608,3430,63,56,1,424,0,64,300,148,22,2678,0,282
Huntsman Security,605,3422,63,56,1,421,0,64,300,148,22,2676,0,276
agentless monitoring,605,3422,63,56,1,421,0,64,300,148,22,2676,0,276
customisable use cases,605,3422,63,56,1,421,0,64,300,148,22,2676,0,276
data diode support,605,3422,63,56,1,421,0,64,300,148,22,2676,0,276
government network,605,3422,63,56,1,421,0,64,300,148,22,2676,0,276
high security,605,3422,63,56,1,421,0,64,300,148,22,2676,0,276
multi-tiered environment,605,3422,63,56,1,421,0,64,300,148,22,2676,0,276
Stormshield,605,3421,63,56,1,421,0,64,300,148,22,2675,0,276
all-in-one security,605,3421,63,56,1,421,0,64,300,148,22,2675,0,276
data centre,605,3421,63,56,1,421,0,64,300,148,22,2675,0,276
disaster recovery center,605,3421,63,56,1,421,0,64,300,148,22,2675,0,276
hardware firewall,605,3421,63,56,1,421,0,64,300,148,22,2675,0,276
network firewalls,605,3421,63,56,1,421,0,64,300,148,22,2675,0,276
network transit,605,3421,63,56,1,421,0,64,300,148,22,2675,0,276
recovery center,605,3421,63,56,1,421,0,64,300,148,22,2675,0,276
public sector ai,430,3381,57,62,0,264,1,46,684,169,0,2324,2,202
liquid cooling,1634,3356,5,159,0,1105,2,363,6,234,0,2316,5,795
mobile devices,1027,3343,167,170,6,555,0,129,401,438,6,1753,0,745
Razorleaf,225,3328,4,8,1,174,2,36,64,44,8,2704,128,380
modular architecture,225,3328,4,8,1,174,2,36,64,44,8,2704,128,380
healthcare administration,1833,3313,128,452,49,961,38,205,288,814,91,1476,66,578
hybrid billing models,1833,3313,128,452,49,961,38,205,288,814,91,1476,66,578
medical billing outsourcing,1833,3313,128,452,49,961,38,205,288,814,91,1476,66,578
payer contracting,1833,3313,128,452,49,961,38,205,288,814,91,1476,66,578
payment models,1833,3313,128,452,49,961,38,205,288,814,91,1476,66,578
healthcare provider enrollment,1834,3311,128,453,49,961,38,205,287,813,91,1476,66,578
provider credentialing,1834,3311,128,453,49,961,38,205,287,813,91,1476,66,578
ai billing,1832,3310,128,452,49,961,38,204,287,812,93,1475,66,577
ai system,1832,3310,128,452,49,961,38,204,287,812,93,1475,66,577
ai-powered billing,1832,3310,128,452,49,961,38,204,287,812,93,1475,66,577
billing system,1832,3310,128,452,49,961,38,204,287,812,93,1475,66,577
clinical data,1832,3310,128,452,49,961,38,204,287,812,93,1475,66,577
medical billing automation,1832,3310,128,452,49,961,38,204,287,812,93,1475,66,577
primary care,1832,3310,128,452,49,961,38,204,287,812,93,1475,66,577
robotics,1866,3305,152,429,17,1001,30,237,318,816,35,1593,46,497
oil and gas industry,1343,3182,118,271,34,725,10,185,303,774,70,1572,20,443
candidate selection,831,3167,12,180,2,492,17,128,151,531,4,1894,65,522
hiring process,831,3167,12,180,2,492,17,128,151,531,4,1894,65,522
product portfolio,831,3167,12,180,2,492,17,128,151,531,4,1894,65,522
sap successfactors,831,3167,12,180,2,492,17,128,151,531,4,1894,65,522
Gartner,769,3141,30,133,11,504,10,81,66,293,15,821,18,1928
k-12,959,3136,170,173,6,455,0,155,883,607,6,888,0,752
data retrieval,1264,3117,111,486,99,400,26,142,475,761,176,940,29,736
cybersecurity talent & expertise,1420,3100,85,396,130,571,37,201,141,934,288,1075,48,614
easy installation,594,3086,41,192,66,212,20,63,176,1131,114,1290,43,332
education management,594,3086,41,192,66,212,20,63,176,1131,114,1290,43,332
secure solution,594,3086,41,192,66,212,20,63,176,1131,114,1290,43,332
security features,594,3086,41,192,66,212,20,63,176,1131,114,1290,43,332
wireless lan,594,3086,41,192,66,212,20,63,176,1131,114,1290,43,332
HR Cloud,249,3050,22,136,8,44,13,26,48,870,11,181,18,1922
live chat,232,3049,10,119,19,55,5,24,12,958,21,78,11,1969
ai seo,231,3047,10,118,19,55,5,24,12,956,21,78,11,1969
b2b seo,231,3047,10,118,19,55,5,24,12,956,21,78,11,1969
messaging,232,3047,10,118,19,56,5,24,12,955,21,79,11,1969
saas marketing,231,3047,10,118,19,55,5,24,12,956,21,78,11,1969
Tidio,230,3046,10,118,19,54,5,24,12,956,21,77,11,1969
chat widgets,230,3046,10,118,19,54,5,24,12,956,21,77,11,1969
customer-centric approach,230,3046,10,118,19,54,5,24,12,956,21,77,11,1969
online sales,230,3046,10,118,19,54,5,24,12,956,21,77,11,1969
sales support,230,3046,10,118,19,54,5,24,12,956,21,77,11,1969
strategy design,230,3046,10,118,19,54,5,24,12,956,21,77,11,1969
market adoption,230,3044,10,117,19,55,5,24,12,953,21,78,11,1969
marketing team,230,3044,10,117,19,55,5,24,12,953,21,78,11,1969
positioning,230,3044,10,117,19,55,5,24,12,953,21,78,11,1969
product launch,230,3044,10,117,19,55,5,24,12,953,21,78,11,1969
process safety,505,3032,2,12,2,425,1,63,2,1633,2,1151,1,243
energy management,1156,3024,121,285,34,548,11,157,308,976,70,1126,21,523
global supply chain,1484,2988,19,94,8,1139,8,216,54,217,18,2280,26,393
higher education,1542,2978,181,321,12,777,22,229,302,655,21,1460,66,474
procurement process,1461,2977,12,1198,1,35,3,212,19,2375,1,79,7,496
facility maintenance,1610,2971,152,427,17,767,30,217,319,814,35,1351,46,406
agile mobile robots,1610,2970,152,428,17,767,30,216,318,815,35,1351,46,405
api 653 inspection,1609,2970,152,427,17,767,30,216,319,814,35,1351,46,405
confined space entry elimination,1609,2970,152,427,17,767,30,216,319,814,35,1351,46,405
environmental management,1609,2970,152,427,17,767,30,216,319,814,35,1351,46,405
in-service inspection,1609,2970,152,427,17,767,30,216,319,814,35,1351,46,405
industrial inspection automation,1610,2970,152,428,17,767,30,216,318,815,35,1351,46,405
mobile inspection robots,1610,2970,152,428,17,767,30,216,318,815,35,1351,46,405
mobile robotics,1610,2970,152,428,17,767,30,216,318,815,35,1351,46,405
mobile robots,1610,2970,152,428,17,767,30,216,318,815,35,1351,46,405
robotic inspection,1609,2970,152,427,17,767,30,216,319,814,35,1351,46,405
safety services,1609,2970,152,427,17,767,30,216,319,814,35,1351,46,405
tank inspection,1609,2970,152,427,17,767,30,216,319,814,35,1351,46,405
employee trust,1250,2965,95,324,68,568,46,149,164,841,168,1148,96,548
impact report,1250,2965,95,324,68,568,46,149,164,841,168,1148,96,548
trust in ai,1250,2965,95,324,68,568,46,149,164,841,168,1148,96,548
analytics software,1530,2962,181,310,12,777,22,228,302,641,21,1459,66,473
employee satisfaction,1530,2962,181,310,12,777,22,228,302,641,21,1459,66,473
employee success,1530,2962,181,310,12,777,22,228,302,641,21,1459,66,473
flexible work,1530,2962,181,310,12,777,22,228,302,641,21,1459,66,473
government buildings,1530,2962,181,310,12,777,22,228,302,641,21,1459,66,473
hybrid work management,1530,2962,181,310,12,777,22,228,302,641,21,1459,66,473
integrated workplace management (iwms),1530,2962,181,310,12,777,22,228,302,641,21,1459,66,473
iwms,1530,2962,181,310,12,777,22,228,302,641,21,1459,66,473
occupancy analytics,1530,2962,181,310,12,777,22,228,302,641,21,1459,66,473
software for government,1530,2962,181,310,12,777,22,228,302,641,21,1459,66,473
software-based,1530,2962,181,310,12,777,22,228,302,641,21,1459,66,473
space management software,1530,2962,181,310,12,777,22,228,302,641,21,1459,66,473
space utilization,1530,2962,181,310,12,777,22,228,302,641,21,1459,66,473
wi-fi based analytics,1530,2962,181,310,12,777,22,228,302,641,21,1459,66,473
workspace design,1530,2962,181,310,12,777,22,228,302,641,21,1459,66,473
comprehensive visibility,444,2954,62,59,1,275,0,47,312,1175,1,1368,0,98
payroll automation,1450,2943,12,1198,1,28,3,208,19,2375,1,67,7,474
IRIS Software Group,1449,2942,12,1198,1,27,3,208,19,2375,1,66,7,474
employee payment management,1449,2942,12,1198,1,27,3,208,19,2375,1,66,7,474
payroll reporting,1449,2942,12,1198,1,27,3,208,19,2375,1,66,7,474
software buyers guide,1449,2942,12,1198,1,27,3,208,19,2375,1,66,7,474
Xylem,1425,2934,5,16,0,1071,2,331,6,25,0,2182,5,716
coolant circulation,1425,2934,5,16,0,1071,2,331,6,25,0,2182,5,716
direct-to-chip cooling,1425,2934,5,16,0,1071,2,331,6,25,0,2182,5,716
heat rejection,1425,2934,5,16,0,1071,2,331,6,25,0,2182,5,716
heat transfer,1425,2934,5,16,0,1071,2,331,6,25,0,2182,5,716
immersion cooling,1425,2934,5,16,0,1071,2,331,6,25,0,2182,5,716
industrial cooling,1425,2934,5,16,0,1071,2,331,6,25,0,2182,5,716
infrastructure operation,1425,2934,5,16,0,1071,2,331,6,25,0,2182,5,716
next-gen data,1425,2934,5,16,0,1071,2,331,6,25,0,2182,5,716
single-phase,1425,2934,5,16,0,1071,2,331,6,25,0,2182,5,716
thermal control,1425,2934,5,16,0,1071,2,331,6,25,0,2182,5,716
data center interconnect,1262,2929,85,369,25,527,11,245,182,872,46,1095,23,711
communications,1567,2907,156,428,34,718,27,204,334,761,63,1279,45,425
ai dash cam,1315,2864,125,348,28,622,18,174,293,824,40,1158,31,518
community marketplace,1315,2864,125,348,28,622,18,174,293,824,40,1158,31,518
healthcare professionals,934,2851,4,14,0,747,1,168,4,14,0,2257,1,575
Parker Hannifin,929,2839,28,64,5,682,3,147,448,321,13,1425,3,629
TeamViewer,1543,2828,156,428,11,718,27,203,334,761,26,1279,45,383
autonomous robots,1543,2828,156,428,11,718,27,203,334,761,26,1279,45,383
delivery robots,1543,2828,156,428,11,718,27,203,334,761,26,1279,45,383
field maintenance,1543,2828,155,429,11,718,27,203,333,762,26,1279,45,383
head mounted displays,1543,2828,155,429,11,718,27,203,333,762,26,1279,45,383
inspection efficiency,1543,2828,155,429,11,718,27,203,333,762,26,1279,45,383
integrated servicing and maintenance,1543,2828,156,428,11,718,27,203,334,761,26,1279,45,383
maintenance efficiency,1543,2828,155,429,11,718,27,203,333,762,26,1279,45,383
manufacturing equipment,1543,2828,155,429,11,718,27,203,333,762,26,1279,45,383
mounted displays,1543,2828,155,429,11,718,27,203,333,762,26,1279,45,383
remote assistance,1543,2828,155,429,11,718,27,203,333,762,26,1279,45,383
remote connectivity,1543,2828,156,428,11,718,27,203,334,761,26,1279,45,383
remote robot maintenance,1543,2828,156,428,11,718,27,203,334,761,26,1279,45,383
remote robot servicing,1543,2828,156,428,11,718,27,203,334,761,26,1279,45,383
remote servicing,1543,2828,156,428,11,718,27,203,334,761,26,1279,45,383
remote support,1543,2828,155,429,11,718,27,203,333,762,26,1279,45,383
social infrastructure,1543,2828,155,429,11,718,27,203,333,762,26,1279,45,383
system integrator,1543,2828,156,428,11,718,27,203,334,761,26,1279,45,383
wearable computing,1543,2828,155,429,11,718,27,203,333,762,26,1279,45,383
HIMSS,1220,2814,62,353,102,494,35,174,114,879,254,978,45,544
cyber readiness,1220,2814,62,353,102,494,35,174,114,879,254,978,45,544
privacy challenges,1220,2814,62,353,102,494,35,174,114,879,254,978,45,544
virtual forum,1220,2814,62,353,102,494,35,174,114,879,254,978,45,544
automating workflows,1341,2753,30,118,11,969,8,205,61,372,13,1804,8,495
audit risk,1304,2707,124,346,28,615,18,173,292,816,40,1148,31,380
commercial vehicles,1304,2707,124,346,28,615,18,173,292,816,40,1148,31,380
eld compliance,1304,2707,124,346,28,615,18,173,292,816,40,1148,31,380
electronic logging,1304,2707,124,346,28,615,18,173,292,816,40,1148,31,380
electronic logging devices,1304,2707,124,346,28,615,18,173,292,816,40,1148,31,380
fuel data,1304,2707,124,346,28,615,18,173,292,816,40,1148,31,380
fuel pricing,1304,2707,124,346,28,615,18,173,292,816,40,1148,31,380
fuel tax reporting,1304,2707,124,346,28,615,18,173,292,816,40,1148,31,380
